"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","536222","","","","0"
"2003","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","533074","","","","0"
"2004","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","543150","","","","0"
"2005","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","537740","","","","0"
"2006","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","549727","","","","0"
"2007","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","552322","","","","0"
"2008","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","564838","","","","0"
"2009","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","574217","","","","0"
"2000","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2190.10","","","","2"
"2001","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2255.52","","","","2"
"2002","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2210.53","","","","2"
"2003","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2168.23","","","","2"
"2004","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2179.86","","","","2"
"2005","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2130.57","","","","2"
"2006","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2149.78","","","","2"
